PSA_ID,Domain,Sub_Category,English,Kiswahili,Ekegusii,Source,Date,Metadata,Somali,Dholuo
AGRI_191,Agriculture,Training,Grow skills! Equip schools with agricultural training labs.,Ukuaji! tayarisha shule kwa maabara za mafunzo ya kilimo.,Kinia ochusi! Agacha chinyomba chiobosayansi bwoboremi  chisukuru.,Ekegusii Corpus,2026-07-22,translation=source; source_lang=en; original_domain_label=Education; qa_tool=opus; qa_roundtrip=0.789; promoted_from=EKEGUSIICORPUS_417; qa_tool_somali=nllb; qa_roundtrip_somali=0.776; qa_tool_dholuo=nllb_selfcheck; qa_roundtrip_dholuo=0.633,Iskuulka ku qalabeeya shaybaarada tababarka beeraha.,"Med lony, kendo ik skul gi laboratori mag tiego ji e weche mag pur."
AGRI_192,Agriculture,Agribusiness & Market Access,Grow your business! Join agribusiness vocational courses.,Kukuza biashara yako! Jiunge na kozi za ufundi za biashara ya kilimo.,Kinia oboonchoreria bwao! Soa chikorechi chia inse chiria chogosomia chikosi chioboremi.,Ekegusii Corpus,2026-07-22,translation=source; source_lang=en; original_domain_label=Education; qa_tool=azure; qa_roundtrip=1.0; promoted_from=EKEGUSIICORPUS_418; qa_tool_somali=azure; qa_roundtrip_somali=0.672; qa_tool_dholuo=nllb_selfcheck; qa_roundtrip_dholuo=0.508,Ganacsigaaga kor u qaad! Ku biir koorsooyinka xirfadaha ganacsiga beeraha.,"Med timo ohala, dhi e tiegruok mag ohala e weche mag uso ohala."
AGRI_194,Agriculture,Training,Kiambu National Polytechnic launches modern farming techniques training program.,Kiambu National Polytechnic yazindua programu ya kisasa ya mafunzo ya mbinu za kilimo.,Kiambu National Polytechnic yachakire emeroberio bwokwegeria igoro yoboremi bwa obono.,Ekegusii Corpus,2026-07-22,translation=source; source_lang=en; original_domain_label=Education; qa_tool=azure; qa_roundtrip=0.802; promoted_from=EKEGUSIICORPUS_502; qa_tool_somali=azure; qa_roundtrip_somali=0.734; qa_tool_dholuo=nllb_selfcheck; qa_roundtrip_dholuo=0.593,Kiambu National Polytechnic waxay bilowday barnaamijka tababarka farsamooyinka beeralayda casriga ah.,Kiambu National Polytechnic chako chenro mar tiego ji e yore mag pur.
AGRI_195,Agriculture,Crop Production,Learn farming! Enroll in agricultural vocational courses.,Jifunze kilimo! Jiandikishe katika kozi za ufundi wa kilimo.,Soma iogoro yoboremi! Soa ase ekosi yoboremi.,Ekegusii Corpus,2026-07-22,translation=source; source_lang=en; original_domain_label=Education; qa_tool=azure; qa_roundtrip=1.0; promoted_from=EKEGUSIICORPUS_627; qa_tool_somali=azure; qa_roundtrip_somali=0.871; qa_tool_dholuo=nllb_selfcheck; qa_roundtrip_dholuo=0.31,Baro beeraleyda! Iska diiwaangeli koorsooyinka xirfadaha beeraha.,Puonjri tije mag pur!
AGRI_196,Agriculture,Crop Production,Learn farming! Include agricultural education in schools.,Jifunze kilimo! Jumuisha elimu ya kilimo shuleni.,Somera oboremi! Bwatania amasomo oboremi ase chisukuru.,Ekegusii Corpus,2026-07-22,translation=source; source_lang=en; original_domain_label=Education; qa_tool=azure; qa_roundtrip=1.0; promoted_from=EKEGUSIICORPUS_628; qa_tool_somali=azure; qa_roundtrip_somali=0.871; qa_tool_dholuo=nllb_selfcheck; qa_roundtrip_dholuo=0.293,Baro beeraleyda! Ku dar waxbarashada beeraha ee dugsiyada.,Puonjri timo pur!
AGRI_197,Agriculture,Food Security,Ministry of Agriculture and Education promote school agricultural programs for food security and skills development.,Wizara ya Kilimo na Elimu huendeleza mipango ya kilimo ya shule kwa ajili ya usalama wa chakula na maendeleo ya ujuzi.,Eminisitiri yoboremi na eyechisemi ngosegeta chire amasomo oboremi ase chisukuru igoro yomoigoto bwendagera na gokinia ochusi.,Ekegusii Corpus,2026-07-22,translation=source; source_lang=en; original_domain_label=Education; qa_tool=nllb; qa_roundtrip=0.928; promoted_from=EKEGUSIICORPUS_657; qa_tool_somali=nllb; qa_roundtrip_somali=0.89; qa_tool_dholuo=nllb_selfcheck; qa_roundtrip_dholuo=0.731,Wasaaradda Beeraha iyo Waxbarashada waxay dhiirigelisay barnaamijyada beeraha ee dugsiyada ee ammaanka cuntada iyo horumarinta xirfadaha.,Ministry of Agriculture and Education jiwo chenro mag pur e skul mar yudo chiemo kod medo lony.
AGRI_198,Agriculture,Crop Production,Ministry of Education and Agriculture partner to improve school feeding programs to boost student attendance and learning.,Wizara ya Elimu na Kilimo inashirikiana kuboresha programu za kulisha shule ili kuongeza mahudhurio na ujifunzaji wa wanafunzi.,Eminisitiri yechisemi na eyoboremi chiabwatanire kobeka buya omoroberio bwokorageria chisukuru orengete korora nga abana mbarema goika esukuru gosoma.,Ekegusii Corpus,2026-07-22,translation=source; source_lang=en; original_domain_label=Education; qa_tool=azure; qa_roundtrip=0.885; promoted_from=EKEGUSIICORPUS_658; qa_tool_somali=nllb; qa_roundtrip_somali=0.872; qa_tool_dholuo=nllb_selfcheck; qa_roundtrip_dholuo=0.588,Wasaaradda Waxbarashada iyo Beeraha waxay iskaashi la sameysay si loo wanaajiyo barnaamijyada quudinta dugsiyada si kor loogu qaado kaqeybgalka ardayda iyo barashada.,Ministry of Education and Agriculture oseriwore mondo okony e medo chenro mag chiemo e skul mondo okony e miyo jopuonjre odhi nyime puonjore.
AGRI_200,Agriculture,Crop Production,"Launch of fortified maize, soy blend distributed across primary schools to address undernutrition.","Uzinduzi wa mchanganyiko wa mahindi yaliyoimarishwa, soya kusambazwa katika shule za msingi ili kushughulikia utapiamlo.",Okorentwa kw’ebituma biburukaine esoya kwararigwe chisukuru chia premari erio gokeania oborwaire bwokoborwa afya,Ekegusii Corpus,2026-07-22,translation=source; source_lang=en; original_domain_label=Health; qa_tool=azure; qa_roundtrip=0.837; promoted_from=EKEGUSIICORPUS_1316; qa_tool_somali=azure; qa_roundtrip_somali=0.764; qa_tool_dholuo=nllb_selfcheck; qa_roundtrip_dholuo=0.412,"Soo bandhigida galleyda xoojinta leh, isku darka soy-ga oo lagu qaybiyay dugsiyada hoose si looga hortago nafaqo xumo.","Ne ochak tiyo gi kodhi ma nigi kodhi mang'eny, kendo ne olandogi e skunde matindo mondo gitiek chandruok mar bedo gi chiemo ma ok mor."
AGRI_201,Agriculture,Training,Pilot providing mobile seed kits and training to women's groups to grow nutritious food in informal settlements.,Majaribio ya kutoa vifaa vya mbegu vya rununu na mafunzo kwa vikundi vya wanawake kukuza chakula chenye lishe katika makazi yasiyo rasmi.,Omorundi chindege okorwa ebikoreri biechintetere am na koegeria ebiombe bia abakungu gosimeka chindagera chibwate amadini ase babegete obomenyo.,Ekegusii Corpus,2026-07-22,translation=source; source_lang=en; original_domain_label=Health; qa_tool=azure; qa_roundtrip=0.926; promoted_from=EKEGUSIICORPUS_1320; qa_tool_somali=azure; qa_roundtrip_somali=0.786; qa_tool_dholuo=nllb_selfcheck; qa_roundtrip_dholuo=0.674,Pilot oo bixisa qalabka abuurka moobilka ah iyo tababar kooxaha haweenka si ay u beeraan cunto nafaqo leh oo ku yaal deegaannada aan rasmi ahayn.,Pilot chiwo kit kodhi ma ne itiyogo e loso kodhi kendo tiego grube mag mon mondo opidh chiemo ma nigi ber e mier ma ok ochan.
AGRI_203,Agriculture,Agribusiness & Market Access,State Dept. commitingto subsidizing solar-powered storage for perishable nutrient-rich crops.,Idara ya Jimbo kujitolea kutoa ruzuku ya uhifadhi unaotumia nishati ya jua kwa mazao yanayoharibika yenye virutubishi vingi.,"Orosagia rwa eserekali, rwerure gosegeta obotumeki bwe chinguru chia omobaso ase okogacha chindagera bwango naende chibwate obuya obonge",Ekegusii Corpus,2026-07-22,translation=source; source_lang=en; original_domain_label=Health; qa_tool=azure; qa_roundtrip=0.736; promoted_from=EKEGUSIICORPUS_1596; qa_tool_somali=azure; qa_roundtrip_somali=0.525; qa_tool_dholuo=nllb_selfcheck; qa_roundtrip_dholuo=0.516,Waaxda Gobolka oo ballanqaaday inay maalgeliso kaydinta tamarta qoraxda ee dalagyada nafaqo badan leh ee baabi'i kara.,Dwe mar Piny owacho. ma ne ochiwore mar chiwo pesa ne kuonde ma ne itiyogo e kano gik ma nigi teko mar chieng' ne cham ma ne nyalo kethore kendo ma ne nigi gik ma kelonegi ber.
