PSA_ID,Domain,Sub_Category,English,Kiswahili,Ekegusii,Source,Date,Metadata
AGRI_001,Agriculture,Crop Production,"African marigold (Tagetes erecta) – mbangimwitu. Use against: bacteria, fungi, nematodes, insects (ants, beetles and many others). Preparation: crush 100-200g of the leaves, roots or flowers, pour on 1 litre of boiling water, stir, and soak for 24 hours, then add 1 litre of cold water. Spray on plants or into the soil.","African marigold / Mbangimwitu (Tagetes erecta). Inazuia: bacteria, fungi, nematodes, wadudu (ants, beetles na wadudu wengine wengi). Kutayarisha: ponda gramu 100-200 ya matawi, mizizi na maua; mwaga kwa lita moja ya maji yaliyochemka; lowa kwa masaa ishirini na nne; ongeza lita moja ya maji baridi; nyunyiza kwa mimea au mchanga.",,https://infonet-biovision.org/tof-issue-no-17-septoct-2006-plant-extract-special-english-version (EN) / https://infonet-biovision.org/tof-issue-no-17-septoct-2006-plant-extract-special-swahili-version (SW),2006-09-01,tone=advisory; platform=magazine; urgency=low; source_pair=true
AGRI_002,Agriculture,Crop Production,"Sweet potato (Ipomoea batatas) – kiazi kitamu. Use against: rice brown leaf spot, rice blast and other fungal diseases, insects (aphids). Preparation: crush and soak leaves in water, use as spray. Heavily starched water after cooking can be sprayed on small insects such as aphids.","Sweet Potato / Kiazi kitamu (Ipomea batatas). Inazuia: rice brown leaf spot, rice blast na magonjwa mengine ya ukungu, wadudu (aphids). Kutayarisha: ponda na ulowe majani kwa maji, nyunyiza. Maji yanayo wanga mzito baada ya kupika yanaweza kunyunyizwa kwa wadudu wadogo kama aphids.",,https://infonet-biovision.org/tof-issue-no-17-septoct-2006-plant-extract-special-english-version (EN) / https://infonet-biovision.org/tof-issue-no-17-septoct-2006-plant-extract-special-swahili-version (SW),2006-09-01,tone=advisory; platform=magazine; urgency=low; source_pair=true
AGRI_003,Agriculture,Crop Production,"Tea (Camellia sinensis) – chai. Use against: fungal diseases, insects, snails (woolly aphid, squash bug, termite mounds). Preparation: the used leaves can be spread around plants to repel snails. The liquid (tea), when cool, can be sprayed on plants.","Tea / Chai (Camellia sinensis). Inazuia: magonjwa ya ukungu, wadudu, konokono (wooly aphid, squash bug, mchwa). Kutayarisha: matawi ambayo yametumika yaweza kutawanywa karibu na mimea kufukuza dudu makamasi (konokono). Maji baridi yaweza kunyunyiziwa kwa mimea.",,https://infonet-biovision.org/tof-issue-no-17-septoct-2006-plant-extract-special-english-version (EN) / https://infonet-biovision.org/tof-issue-no-17-septoct-2006-plant-extract-special-swahili-version (SW),2006-09-01,tone=advisory; platform=magazine; urgency=low; source_pair=true
AGRI_004,Agriculture,Sustainable Farming,Promote drought-tolerant and early-maturing crop varieties to enhance resilience to climate variability.,Kukuza aina za mazao zinazostahimili ukame na kukomaa mapema ili kuongeza ustahimilivu wa kutofautiana kwa hali ya hewa.,,"NDMA Baringo County Drought Early Warning Bulletin, May 2026 (knowledgeweb.ndma.go.ke; local copy NLP/NDMA/EW_Bulletins.zip — no stable per-file URL, see SOURCES.md)",2026-05-01,tone=advisory; platform=government bulletin; urgency=medium; translation=team; source_lang=en; qa_tool=azure; qa_roundtrip=0.727
AGRI_005,Agriculture,Livestock,"Strengthen livestock disease surveillance, vaccination, and treatment programmes to prevent disease outbreaks.","Imarisha ufuatiliaji wa magonjwa ya mifugo, chanjo, na mipango ya matibabu ili kuzuia milipuko ya magonjwa.",,"NDMA Baringo County Drought Early Warning Bulletin, May 2026 (knowledgeweb.ndma.go.ke; local copy NLP/NDMA/EW_Bulletins.zip — no stable per-file URL, see SOURCES.md)",2026-05-01,tone=advisory; platform=government bulletin; urgency=medium; translation=team; source_lang=en; qa_tool=azure; qa_roundtrip=0.927
AGRI_006,Agriculture,Sustainable Farming,Support farms affected by river flooding with farm inputs and access roads.,Kusaidia mashamba yaliyoathiriwa na mafuriko ya mito kwa pembejeo za shamba na barabara za ufikiaji.,,"NDMA Garissa County Drought Early Warning Bulletin, May 2026 (knowledgeweb.ndma.go.ke; local copy NLP/NDMA/EW_Bulletins.zip — no stable per-file URL, see SOURCES.md)",2026-05-01,tone=advisory; platform=government bulletin; urgency=medium; translation=team; source_lang=en; qa_tool=azure; qa_roundtrip=0.98
AGRI_007,Agriculture,Sustainable Farming,Encourage establishment of community gardens and small livestock (especially poultry) systems to increase local availability of vegetables and animal-source foods.,Kuhimiza uanzishwaji wa bustani za jamii na mifumo ya mifugo midogo (haswa kuku) ili kuongeza upatikanaji wa ndani wa mboga mboga na vyakula vya wanyama.,,"NDMA Garissa County Drought Early Warning Bulletin, May 2026 (knowledgeweb.ndma.go.ke; local copy NLP/NDMA/EW_Bulletins.zip — no stable per-file URL, see SOURCES.md)",2026-05-01,tone=advisory; platform=government bulletin; urgency=medium; translation=team; source_lang=en; qa_tool=azure; qa_roundtrip=0.842
AGRI_008,Agriculture,Crop Production,"When crops are damaged during or after harvest, they quickly spoil. You may not be able to sell your damaged produce, or you may be forced to sell at a reduced price. On the other hand, if you can reduce your losses, you can increase your income. At harvest time, when picking fruits, be careful not to knock them off the tree and onto the ground. If fruit falls, it gets bruised, disease and insects attack, and the fruit will quickly spoil. If you reduce the number of falls, you will have high quality produce to sell.","Mazao yanapojeruhiwa wakati wa kuvuna au mara baada ya mavuno, yanaharibika kwa haraka. Unaweza kushindwa kuuza mazao yaliyoharibika au kujeruhiwa, na wakati mwingine ukalazimika kuyauza kwa bei ndogo. Kwa upande mwingine, kama utafanikiwa kupunguza hasara, unaweza pia kuongeza kipato chako. Wakati wa mavuno, unapokuwa ukichuma matunda, kuwa mwangalifu, usiyagonge kwenye mti au kuyaacha yakaanguka ardhini. Kama tunda likianguka chini, linaweza kupata michubuko, magonjwa na vijidudu vinalishambulia, na tunda huharibika. Kama utaweza kuzuia idadi ya matunda yanayoanguka chini, utakuwa na bidhaa bora sokoni.",,"https://scripts.farmradio.fm/radio-script/avoid-post-harvest-losses-with-proper-handling/ (EN) / https://scripts.farmradio.fm/sw/mwongozo-wa-redio/epuka-hasara-baada-ya-mavuno-kwa-kutunza-mazao-yako-vizuri/ (SW) — Radio Spot #1 of 4, trimmed from full script",2026-07-12,tone=advisory; platform=radio spot; urgency=low; licensing=confirm with FRI before redistribution beyond class use
AGRI_009,Agriculture,Crop Production,"When crops are damaged during or after harvest, they quickly spoil, so you may be forced to sell at a reduced price. The best time to harvest fruits and vegetables is in the morning — wait until the dew has evaporated, then harvest before the day gets too hot. Harvesting later in the day leaves fruits and vegetables wilted or limp, with more disease and insect problems. Harvest in the morning for firmer, fresher produce.","Matunda yanapokuwa yamejeruhiwa wakati wa kuvuna ama baada ya kuvuna, huharibika kwa haraka, hivyo unaweza kulazimika kuyauza kwa bei ya chini. Muda mzuri wa kuvuna matunda na mboga ni asubuhi — subiri mpaka umande umekauka, halafu vuna kabla jua halijawa kali. Ukivuna wakati wa jua kali, matunda na mboga zinaweza kusinyaa au kunyauka, na kushambuliwa zaidi na magonjwa au wadudu. Vuna asubuhi ili upate mazao mazuri na imara.",,"https://scripts.farmradio.fm/radio-script/avoid-post-harvest-losses-with-proper-handling/ (EN) / https://scripts.farmradio.fm/sw/mwongozo-wa-redio/epuka-hasara-baada-ya-mavuno-kwa-kutunza-mazao-yako-vizuri/ (SW) — Radio Spot #2 of 4, trimmed from full script",2026-07-12,tone=advisory; platform=radio spot; urgency=low; licensing=confirm with FRI before redistribution beyond class use
AGRI_010,Agriculture,Crop Production,Provide extension services and pesticides to support pest control and management for crops.,Toa huduma za ugani na dawa za wadudu kusaidia udhibiti na usimamizi wa wadudu kwa mazao.,,"NDMA Embu County Drought Early Warning Bulletin, May 2026 (knowledgeweb.ndma.go.ke; local copy NLP/NDMA/EW_Bulletins.zip - no stable per-file URL, see SOURCES.md)",2026-05-01,tone=advisory; platform=government bulletin; urgency=medium; translation=team; source_lang=en; qa_tool=azure; qa_roundtrip=1.0
