PSA_ID,Domain,Sub_Category,English,Kiswahili,Ekegusii,Source,Date,Metadata,Somali,Dholuo
AGRI_001,Agriculture,Crop Production,"African marigold (Tagetes erecta) – mbangimwitu. Use against: bacteria, fungi, nematodes, insects (ants, beetles and many others). Preparation: crush 100-200g of the leaves, roots or flowers, pour on 1 litre of boiling water, stir, and soak for 24 hours, then add 1 litre of cold water. Spray on plants or into the soil.","African marigold / Mbangimwitu (Tagetes erecta). Inazuia: bacteria, fungi, nematodes, wadudu (ants, beetles na wadudu wengine wengi). Kutayarisha: ponda gramu 100-200 ya matawi, mizizi na maua; mwaga kwa lita moja ya maji yaliyochemka; lowa kwa masaa ishirini na nne; ongeza lita moja ya maji baridi; nyunyiza kwa mimea au mchanga.",,https://infonet-biovision.org/tof-issue-no-17-septoct-2006-plant-extract-special-english-version (EN) / https://infonet-biovision.org/tof-issue-no-17-septoct-2006-plant-extract-special-swahili-version (SW),2006-09-01,tone=advisory; platform=magazine; urgency=low; source_pair=true; qa_tool_somali=azure; qa_roundtrip_somali=0.842; qa_tool_dholuo=nllb_selfcheck; qa_roundtrip_dholuo=0.472,"Dahabka marigold Afrika (Tagetes erecta) – mbangimwitu. Isticmaal ka dhanka ah: bakteeriyada, fungi-yada, nematodes-ka, cayayaanka (cayayaanka, cayayaanka iyo kuwo kale oo badan). Diyaarinta: burburi 100-200g oo caleemaha, xididdada ama ubaxyada, ku shub 1 litir biyo karkaraya, walaq, oo qooy 24 saacadood, kadibna ku dar 1 litir biyo qabow. Buufi dhirta ama ciidda.","African marigold (Tagetes erecta)  mbangimwitu. Ti gi: bakteria, fungus, nematodes, insects (mungu, beetles kod mamoko mang'eny)."
AGRI_002,Agriculture,Crop Production,"Sweet potato (Ipomoea batatas) – kiazi kitamu. Use against: rice brown leaf spot, rice blast and other fungal diseases, insects (aphids). Preparation: crush and soak leaves in water, use as spray. Heavily starched water after cooking can be sprayed on small insects such as aphids.","Sweet Potato / Kiazi kitamu (Ipomea batatas). Inazuia: rice brown leaf spot, rice blast na magonjwa mengine ya ukungu, wadudu (aphids). Kutayarisha: ponda na ulowe majani kwa maji, nyunyiza. Maji yanayo wanga mzito baada ya kupika yanaweza kunyunyizwa kwa wadudu wadogo kama aphids.",,https://infonet-biovision.org/tof-issue-no-17-septoct-2006-plant-extract-special-english-version (EN) / https://infonet-biovision.org/tof-issue-no-17-septoct-2006-plant-extract-special-swahili-version (SW),2006-09-01,tone=advisory; platform=magazine; urgency=low; source_pair=true; qa_tool_somali=nllb; qa_roundtrip_somali=0.225; qa_tool_dholuo=nllb_selfcheck; qa_roundtrip_dholuo=0.221,"Baradho macaan (Ipomoea batatas)  kiazi kitamu. Isticmaalka: barta caleemaha caynka ah ee bariiska, bararka bariiska iyo cudurrada kale ee fangaska, cayayaanka (afids). Diyaarinta: burburin iyo caleemaha ku qoyan biyo, u isticmaal sida buufinta. Biyaha xoogan ee sharraxaada ah ka dib marka la kariyo waxaa lagu buufin karaa cayayaanka yaryar sida afids.","Olemb moromo (Ipomoea batatas)  kiazi kitamu. Ti gi: rice brown leaf spot, rice blast and other fungal diseases, insects (aphids)."
AGRI_003,Agriculture,Crop Production,"Tea (Camellia sinensis) – chai. Use against: fungal diseases, insects, snails (woolly aphid, squash bug, termite mounds). Preparation: the used leaves can be spread around plants to repel snails. The liquid (tea), when cool, can be sprayed on plants.","Tea / Chai (Camellia sinensis). Inazuia: magonjwa ya ukungu, wadudu, konokono (wooly aphid, squash bug, mchwa). Kutayarisha: matawi ambayo yametumika yaweza kutawanywa karibu na mimea kufukuza dudu makamasi (konokono). Maji baridi yaweza kunyunyiziwa kwa mimea.",,https://infonet-biovision.org/tof-issue-no-17-septoct-2006-plant-extract-special-english-version (EN) / https://infonet-biovision.org/tof-issue-no-17-septoct-2006-plant-extract-special-swahili-version (SW),2006-09-01,tone=advisory; platform=magazine; urgency=low; source_pair=true; qa_tool_somali=nllb; qa_roundtrip_somali=0.431; qa_tool_dholuo=nllb_selfcheck; qa_roundtrip_dholuo=0.488,"Tea (Camellia sinensis)  chai. Isticmaalka: cudurrada fangaska, cayayaanka, snails (woolly aphid, squash bug, turunturo) Diyaarinta: caleemaha loo isticmaalo waxaa lagu kala fidin karaa dhirta si loo diido snails. dareeraha (tea), marka qabow, lagu buufiyo dhirta.","Tea (Camellia sinensis)  chai. Tiyo gi: tuoche mag akuru, chukni, lewni (wolly aphid, squash bug, termit mounds)."
AGRI_004,Agriculture,Sustainable Farming,Promote drought-tolerant and early-maturing crop varieties to enhance resilience to climate variability.,Kukuza aina za mazao zinazostahimili ukame na kukomaa mapema ili kuongeza ustahimilivu wa kutofautiana kwa hali ya hewa.,,"NDMA Baringo County Drought Early Warning Bulletin, May 2026 (knowledgeweb.ndma.go.ke; local copy NLP/NDMA/EW_Bulletins.zip — no stable per-file URL, see SOURCES.md)",2026-05-01,tone=advisory; platform=government bulletin; urgency=medium; translation=team; source_lang=en; qa_tool=azure; qa_roundtrip=0.727; qa_tool_somali=azure; qa_roundtrip_somali=0.782; qa_tool_dholuo=nllb_selfcheck; qa_roundtrip_dholuo=0.364,Kor u qaad noocyada dalagyada u adkeysan abaaraha iyo bislaada hore si loo xoojiyo adkeysiga isbeddelka cimilada.,Dhi nyime jiwo kit cham ma nyalo nano e bwo oro kendo ma nyalo dongo chon mondo omi gibed gi nyalo mar geng'o lokruok e kit yamo.
AGRI_005,Agriculture,Livestock,"Strengthen livestock disease surveillance, vaccination, and treatment programmes to prevent disease outbreaks.","Imarisha ufuatiliaji wa magonjwa ya mifugo, chanjo, na mipango ya matibabu ili kuzuia milipuko ya magonjwa.",,"NDMA Baringo County Drought Early Warning Bulletin, May 2026 (knowledgeweb.ndma.go.ke; local copy NLP/NDMA/EW_Bulletins.zip — no stable per-file URL, see SOURCES.md)",2026-05-01,tone=advisory; platform=government bulletin; urgency=medium; translation=team; source_lang=en; qa_tool=azure; qa_roundtrip=0.927; qa_tool_somali=nllb; qa_roundtrip_somali=0.869; qa_tool_dholuo=nllb_selfcheck; qa_roundtrip_dholuo=0.536,"Xoojinta nidaamyada kormeerka cudurrada xoolaha, tallaalka iyo daaweynta si looga hortago cudurrada cudurka.","Tego chenro mag rito, thiedho, kod thiedho tuoche mag jamni mondo kik tuoche chakore."
AGRI_006,Agriculture,Sustainable Farming,Support farms affected by river flooding with farm inputs and access roads.,Kusaidia mashamba yaliyoathiriwa na mafuriko ya mito kwa pembejeo za shamba na barabara za ufikiaji.,,"NDMA Garissa County Drought Early Warning Bulletin, May 2026 (knowledgeweb.ndma.go.ke; local copy NLP/NDMA/EW_Bulletins.zip — no stable per-file URL, see SOURCES.md)",2026-05-01,tone=advisory; platform=government bulletin; urgency=medium; translation=team; source_lang=en; qa_tool=azure; qa_roundtrip=0.98; qa_tool_somali=azure; qa_roundtrip_somali=0.726; qa_tool_dholuo=nllb_selfcheck; qa_roundtrip_dholuo=0.252,Taageer beeraha ay saameeyeen fatahaadaha webiga iyadoo la adeegsanayo agabka beeraha iyo waddooyinka marinka.,Dhi nyime konyo kuonde ma pi omedore e aore mondo omi ji thuolo mar yudo gik ma ginyalo yudo e puothe mag puothe mag puothe mag puothe mag puothe mag puothe mag puothe mag puothe mag puothe mag puothe mag puothe mag puothe mag puothe mag puothe mag puothe mag puothe mag puothe mag puothe mag puothe mag puothe mag puothe mag puothe mag puothe mag puothe mag puothe mag puothe mag puothe mag puothe mag puothe mag puothe mag puothe mag puothe mag puothe mag puothe mag puothe
AGRI_007,Agriculture,Sustainable Farming,Encourage establishment of community gardens and small livestock (especially poultry) systems to increase local availability of vegetables and animal-source foods.,Kuhimiza uanzishwaji wa bustani za jamii na mifumo ya mifugo midogo (haswa kuku) ili kuongeza upatikanaji wa ndani wa mboga mboga na vyakula vya wanyama.,,"NDMA Garissa County Drought Early Warning Bulletin, May 2026 (knowledgeweb.ndma.go.ke; local copy NLP/NDMA/EW_Bulletins.zip — no stable per-file URL, see SOURCES.md)",2026-05-01,tone=advisory; platform=government bulletin; urgency=medium; translation=team; source_lang=en; qa_tool=azure; qa_roundtrip=0.842; qa_tool_somali=azure; qa_roundtrip_somali=0.795; qa_tool_dholuo=nllb_selfcheck; qa_roundtrip_dholuo=0.477,Dhiirrigelin in la dhiso beero bulsho iyo nidaamyo xoolo yaryar (gaar ahaan digaagga) si loo kordhiyo helitaanka khudaarta iyo cuntooyinka xayawaanka ee deegaanka.,Jiwo loso puothe mag oganda kod yore mag rito jamni matindo (mak mana winy) mondo omi omed bedo gi cham ma nigi alot kod chiemo mowuok kuom le.
AGRI_008,Agriculture,Crop Production,"When crops are damaged during or after harvest, they quickly spoil. You may not be able to sell your damaged produce, or you may be forced to sell at a reduced price. On the other hand, if you can reduce your losses, you can increase your income. At harvest time, when picking fruits, be careful not to knock them off the tree and onto the ground. If fruit falls, it gets bruised, disease and insects attack, and the fruit will quickly spoil. If you reduce the number of falls, you will have high quality produce to sell.","Mazao yanapojeruhiwa wakati wa kuvuna au mara baada ya mavuno, yanaharibika kwa haraka. Unaweza kushindwa kuuza mazao yaliyoharibika au kujeruhiwa, na wakati mwingine ukalazimika kuyauza kwa bei ndogo. Kwa upande mwingine, kama utafanikiwa kupunguza hasara, unaweza pia kuongeza kipato chako. Wakati wa mavuno, unapokuwa ukichuma matunda, kuwa mwangalifu, usiyagonge kwenye mti au kuyaacha yakaanguka ardhini. Kama tunda likianguka chini, linaweza kupata michubuko, magonjwa na vijidudu vinalishambulia, na tunda huharibika. Kama utaweza kuzuia idadi ya matunda yanayoanguka chini, utakuwa na bidhaa bora sokoni.",,"https://scripts.farmradio.fm/radio-script/avoid-post-harvest-losses-with-proper-handling/ (EN) / https://scripts.farmradio.fm/sw/mwongozo-wa-redio/epuka-hasara-baada-ya-mavuno-kwa-kutunza-mazao-yako-vizuri/ (SW) — Radio Spot #1 of 4, trimmed from full script",2026-07-12,tone=advisory; platform=radio spot; urgency=low; licensing=confirm with FRI before redistribution beyond class use; qa_tool_somali=nllb; qa_roundtrip_somali=0.135; qa_tool_dholuo=nllb_selfcheck; qa_roundtrip_dholuo=0.021,"Marka dalaggu dhaawaco inta lagu jiro ama ka dib goosashada, si dhakhso leh ayey u burburtaa. Waxaa laga yaabaa inaadan awoodin inaad iibiso wax soo saarkaaga dhaawacmay, ama waxaa laga yaabaa inaad ku qasban tahay inaad iibiso qiimo dhimis ah. Dhinaca kale, haddii aad yareyso khasaarahaaga, waxaad kordhin kartaa dakhligaaga. Waqtiga goosashada, markaad goosato miraha, ka taxaddar inaadan geedka ka soo tuurin oo dhulka ku tuurin. Haddii midhaha dhacaan,","Ka cham okethore e kinde keyo kata bang' keyo, to gikone kethore mapiyo. Nyalo bedo ni ok inyal uso cham ma okethoreno, kata inyalo chuno ni iuso gi nengo matin. To komachielo, ka inyalo dwoko chien gik ma isetimo, to inyalo medo pesa ma isudo. Sama ikayo cham, sama ichoko cham, tang' kik ipodhi e yath kendo iwitgi e lowo. Ka cham opodho, to onyalo bedo gi mbala, tuoche kod kute biro monjo, kendo cham biro kethore mapiyo. Ka imedo kwan mar cham ma"
AGRI_009,Agriculture,Crop Production,"When crops are damaged during or after harvest, they quickly spoil, so you may be forced to sell at a reduced price. The best time to harvest fruits and vegetables is in the morning — wait until the dew has evaporated, then harvest before the day gets too hot. Harvesting later in the day leaves fruits and vegetables wilted or limp, with more disease and insect problems. Harvest in the morning for firmer, fresher produce.","Matunda yanapokuwa yamejeruhiwa wakati wa kuvuna ama baada ya kuvuna, huharibika kwa haraka, hivyo unaweza kulazimika kuyauza kwa bei ya chini. Muda mzuri wa kuvuna matunda na mboga ni asubuhi — subiri mpaka umande umekauka, halafu vuna kabla jua halijawa kali. Ukivuna wakati wa jua kali, matunda na mboga zinaweza kusinyaa au kunyauka, na kushambuliwa zaidi na magonjwa au wadudu. Vuna asubuhi ili upate mazao mazuri na imara.",,"https://scripts.farmradio.fm/radio-script/avoid-post-harvest-losses-with-proper-handling/ (EN) / https://scripts.farmradio.fm/sw/mwongozo-wa-redio/epuka-hasara-baada-ya-mavuno-kwa-kutunza-mazao-yako-vizuri/ (SW) — Radio Spot #2 of 4, trimmed from full script",2026-07-12,tone=advisory; platform=radio spot; urgency=low; licensing=confirm with FRI before redistribution beyond class use; qa_tool_somali=nllb; qa_roundtrip_somali=0.169; qa_tool_dholuo=nllb_selfcheck; qa_roundtrip_dholuo=0.022,"Marka dalaggu dhaawaco inta lagu jiro ama ka dib goosashada, si dhakhso leh ayey u burburayaan, sidaa darteed waxaa laga yaabaa inaad ku qasbanaato inaad iibiso qiimo jaban. Waqtiga ugu fiican ee lagu goosto miraha iyo khudaarta waa subaxdii  sug ilaa roobku u baxaan, ka dibna goosashada ka hor inta aan maalinta aad u kulul ahayn. Goosashada dambe ee maalinta waxay ka dhigeysaa miraha iyo khudaarta midab ama labbad, oo leh cudurro iyo cayaya","Ka cham okethore e kinde kata bang' keyo, to gichwanyore mapiyo, omiyo inyalo chuno ng'ato mondo ousgi e nengo matin. Kinde maber mar keyo olemo gi alode en gokinyi  rit nyaka koth rum, kae to keyo kapok chieng' ochwe ahinya. Keyo bang'e e odiechieng' miyo olemo gi alode bedo gi tuoche mang'eny kendo bedo gi chandruoge mag choko. Keyo okelo tuoche mang'eny."
AGRI_010,Agriculture,Crop Production,Provide extension services and pesticides to support pest control and management for crops.,Toa huduma za ugani na dawa za wadudu kusaidia udhibiti na usimamizi wa wadudu kwa mazao.,,"NDMA Embu County Drought Early Warning Bulletin, May 2026 (knowledgeweb.ndma.go.ke; local copy NLP/NDMA/EW_Bulletins.zip - no stable per-file URL, see SOURCES.md)",2026-05-01,tone=advisory; platform=government bulletin; urgency=medium; translation=team; source_lang=en; qa_tool=azure; qa_roundtrip=1.0; qa_tool_somali=nllb; qa_roundtrip_somali=0.762; qa_tool_dholuo=nllb_selfcheck; qa_roundtrip_dholuo=0.359,Bixinta adeegyada ballaarinta iyo cayayaanka si loo taageero xakameynta cayayaanka iyo maareynta dalagyada.,Chiw tije mag medo thieth kod tuoche makelo tuoche mondo okony e tieko kod rito yiende.
