PSA_ID,Domain,English,English_sw
HEA_00001,Health,Ministry of Health urges residents of Nyandarua County to complete the full recommended vaccination dose following a rise in reported tuberculosis cases.,Wizara ya Afya inawahimiza wakazi wa Kaunti ya Nyandarua kukamilisha kipimo kamili cha chanjo kilichopendekezwa kufuatia ongezeko la visa vya kifua kikuu vilivyoripotiwa.
HEA_00002,Health,CDC urges residents of Taita-Taveta County to seek immediate testing at the nearest health facility following a rise in reported cyclosporiasis cases.,CDC inahimiza wakazi wa Wilaya ya Taita-Taveta kutafuta upimaji wa haraka katika kituo cha afya cha karibu baada ya ongezeko la visa vya cyclosporiasis vilivyoripotiwa.
HEA_00003,Health,SHA (Social Health Authority) urges residents of Embu County to use insecticide-treated mosquito nets every night following a rise in reported dengue fever cases.,Shirika la Afya ya Jamii (SHA) linawahimiza wakazi wa Kaunti ya Embu watumie mitungi ya mbu kila usiku baada ya ongezeko la visa vya homa ya dengue vilivyoripotiwa.
HEA_00004,Health,CDC urges residents of Tharaka-Nithi County to avoid contact with contaminated water sources following a rise in reported dengue fever cases.,CDC inawasihi wakazi wa Kaunti ya Tharaka-Nithi waepuke kuwasiliana na vyanzo vya maji vilivyochafuliwa baada ya ongezeko la visa vya homa ya dengue vilivyoripotiwa.
HEA_00005,Health,Ministry of Health - Reproductive Health Unit reminds the public that free cholera screening is available at all public health centres in Vihiga County this May.,Wizara ya Afya - Kitengo cha Afya ya Uzazi kinakumbusha umma kwamba uchunguzi wa bure wa cholera unapatikana katika vituo vyote vya afya vya umma katika Kaunti ya Vihiga mwezi Mei huu.
HEA_00006,Health,Kenya Medical Association reminds the public that free measles screening is available at all public health centres in Kiambu County this May.,Chama cha Matibabu cha Kenya kinakumbusha umma kwamba uchunguzi wa bure wa ugonjwa wa saratani unapatikana katika vituo vyote vya afya ya umma katika Kaunti ya Kiambu Mei hii.
HEA_00007,Health,Division of Disease Surveillance and Response reminds the public that free cyclosporiasis screening is available at all public health centres in Garissa County this February.,Idara ya Ufuatiliaji na Jibu la Magonjwa inakumbusha umma kwamba uchunguzi wa bure wa cyclosporiasis unapatikana katika vituo vyote vya afya ya umma katika Kaunti ya Garissa Februari hii.
HEA_00008,Health,Division of Disease Surveillance and Response urges residents of Turkana County to seek immediate testing at the nearest health facility following a rise in reported typhoid cases.,Idara ya Ufuatiliaji na Jibu la Magonjwa inahimiza wakazi wa Kaunti ya Turkana kutafuta upimaji wa haraka katika kituo cha afya cha karibu baada ya ongezeko la visa vya ugonjwa wa kifua kikuu vilivyoripotiwa.
HEA_00009,Health,CDC calls on parents in Wajir County to have children under five screened for malaria during the July outreach.,CDC inawaomba wazazi katika Kaunti ya Wajir kuwa na watoto chini ya miaka mitano wachunguzwe kwa ajili ya malaria wakati wa kampeni ya Julai.
HEA_00010,Health,Public health advisory: Kenya Red Cross warns of increased HIV/AIDS risk in Siaya County and advises the public to use insecticide-treated mosquito nets every night.,Ushauri wa afya ya umma: Msalaba Mwekundu wa Kenya unaonya juu ya kuongezeka kwa hatari ya VVU/UKIMWI katika Kaunti ya Siaya na anashauri umma watumie mitungi ya mbu kila usiku.
HEA_00011,Health,SHA (Social Health Authority) reminds the public that free tuberculosis screening is available at all public health centres in Kilifi County this November.,Shirika la Afya ya Jamii (SHA) linakumbusha umma kwamba uchunguzi wa bure wa kifua kikuu unapatikana katika vituo vyote vya afya ya umma katika Kaunti ya Kilifi mwezi Novemba.
