PSA_ID,Domain,English
HEA_00001,Health,Ministry of Health urges residents of Nyandarua County to complete the full recommended vaccination dose following a rise in reported tuberculosis cases.
HEA_00002,Health,CDC urges residents of Taita-Taveta County to seek immediate testing at the nearest health facility following a rise in reported cyclosporiasis cases.
HEA_00003,Health,SHA (Social Health Authority) urges residents of Embu County to use insecticide-treated mosquito nets every night following a rise in reported dengue fever cases.
HEA_00004,Health,CDC urges residents of Tharaka-Nithi County to avoid contact with contaminated water sources following a rise in reported dengue fever cases.
HEA_00005,Health,Ministry of Health - Reproductive Health Unit reminds the public that free cholera screening is available at all public health centres in Vihiga County this May.
HEA_00006,Health,Kenya Medical Association reminds the public that free measles screening is available at all public health centres in Kiambu County this May.
HEA_00007,Health,Division of Disease Surveillance and Response reminds the public that free cyclosporiasis screening is available at all public health centres in Garissa County this February.
HEA_00008,Health,Division of Disease Surveillance and Response urges residents of Turkana County to seek immediate testing at the nearest health facility following a rise in reported typhoid cases.
HEA_00009,Health,CDC calls on parents in Wajir County to have children under five screened for malaria during the July outreach.
HEA_00010,Health,Public health advisory: Kenya Red Cross warns of increased HIV/AIDS risk in Siaya County and advises the public to use insecticide-treated mosquito nets every night.
HEA_00011,Health,SHA (Social Health Authority) reminds the public that free tuberculosis screening is available at all public health centres in Kilifi County this November.
HEA_00012,Health,Notice: SHA (Social Health Authority) confirms a cyclosporiasis outbreak alert for Kitui County. Residents are advised to report any suspected cases to community health volunteers.
HEA_00013,Health,Division of Disease Surveillance and Response calls on parents in Isiolo County to have children under five screened for HIV/AIDS during the June outreach.
HEA_00014,Health,Kenya Red Cross reminds the public that free malaria screening is available at all public health centres in Kisii County this November.
HEA_00015,Health,Public health advisory: KEMSA warns of increased tuberculosis risk in Kericho County and advises the public to complete the full recommended vaccination dose.
HEA_00016,Health,Kenya Medical Association calls on parents in Nyandarua County to have children under five screened for dengue fever during the November outreach.
HEA_00017,Health,Division of Disease Surveillance and Response reminds the public that free cholera screening is available at all public health centres in Tana River County this April.
HEA_00018,Health,Notice: Kenya Medical Association confirms a tuberculosis outbreak alert for Nyandarua County. Residents are advised to use insecticide-treated mosquito nets every night.
